user_being_followed_id,user_following_id
34,251
190,262
61,258
184,145
112,249
40,207
88,188
237,42
174,30
176,177
104,147
167,238
28,64
175,79
229,145
280,279
58,223
72,210
294,234
288,135
261,202
193,240
220,126
129,198
96,300
32,93
281,155
297,148
177,120
31,67
193,11
17,256
129,194
39,110
292,3
111,299
14,76
1,78
43,198
162,169
165,103
81,23
238,50
82,217
240,194
64,107
260,141
289,171
45,296
194,109
54,197
56,221
130,2
96,181
129,142
259,27
84,22
160,203
274,272
280,26
9,240
262,40
139,213
116,25
261,187
34,52
220,244
207,17
78,57
123,266
32,267
269,132
194,251
129,153
205,50
134,183
27,132
167,142
292,132
150,54
105,24
176,159
123,278
288,293
110,56
180,40
187,245
31,32
216,202
249,221
59,164
101,168
118,202
221,162
285,31
212,87
282,238
222,296
264,224
253,167
47,74
287,253
194,252
234,129
74,262
75,247
66,114
94,38
197,247
15,54
6,74
120,63
55,18
298,288
17,81
272,239
252,212
117,73
122,141
6,199
168,231
245,144
126,182
32,111
225,182
236,10
9,96
134,255
113,212
41,193
219,87
36,270
44,65
17,44
230,208
292,176
143,105
214,73
150,300
146,9
159,221
59,285
294,125
57,94
205,112
40,72
235,294
47,63
90,106
196,207
125,231
185,199
104,31
297,18
85,296
73,297
157,33
47,293
21,4
206,205
52,127
297,205
144,232
56,111
269,45
95,134
122,176
296,186
291,221
272,249
51,143
47,199
210,206
274,67
198,109
103,168
281,149
296,59
212,257
292,88
228,238
269,128
52,121
122,232
217,6
30,267
264,145
151,222
24,221
31,276
36,204
188,112
66,121
200,175
58,54
272,73
97,105
234,223
192,203
160,232
179,102
289,167
74,247
238,105
124,297
131,179
80,55
268,189
260,297
127,223
294,176
212,251
207,123
186,141
174,82
190,221
37,191
180,59
276,260
104,48
242,297
6,222
128,255
207,26
270,25
93,286
14,25
14,103
113,21
121,185
53,141
258,177
136,222
272,28
55,227
84,275
217,186
1,190
124,250
161,167
122,90
252,71
68,47
111,127
216,291
154,184
17,208
224,88
269,257
147,54
284,294
235,209
276,126
28,291
298,81
212,8
23,266
107,32
48,126
188,74
269,213
188,138
291,110
265,241
259,152
267,189
266,252
69,41
194,152
222,138
112,174
300,230
198,135
136,177
33,45
182,228
111,71
230,198
30,240
295,270
112,172
78,80
91,53
48,39
159,96
81,235
178,89
39,142
183,231
253,96
288,193
246,83
190,39
294,78
298,150
231,75
166,234
230,34
191,111
95,266
183,205
37,167
48,81
96,71
157,60
171,221
128,91
300,228
88,107
240,126
35,256
157,290
147,1
127,119
128,68
189,93
2,195
226,80
142,119
219,93
102,133
120,265
289,238
238,39
266,92
172,290
260,103
108,30
84,288
114,50
186,127
232,69
185,299
236,202
224,266
110,36
24,167
51,94
201,253
248,274
121,45
90,91
111,248
290,228
77,23
99,47
211,141
250,61
8,188
193,106
270,194
54,247
237,191
147,128
128,64
53,25
245,268
277,30
12,101
69,292
215,95
53,126
229,235
216,166
32,55
198,207
134,109
134,85
90,159
38,107
116,17
158,228
229,249
93,121
249,243
213,151
18,144
234,6
290,284
274,181
37,237
13,248
195,231
171,257
33,241
173,122
254,194
273,132
172,279
279,261
300,9
18,53
53,243
226,216
122,163
206,103
131,278
157,257
8,156
242,41
20,88
185,186
186,85
94,57
125,297
169,28
154,124
211,61
108,4
186,219
31,154
32,105
127,14
254,52
228,47
154,191
208,274
95,23
191,23
29,145
151,182
176,155
246,242
5,219
235,162
121,42
234,194
152,216
66,279
70,232
38,242
183,3
156,18
128,53
217,161
30,259
174,126
281,238
249,90
283,235
194,143
175,205
104,18
256,294
173,191
97,282
200,127
4,222
257,141
135,200
127,35
289,24
256,287
60,159
141,98
268,184
112,276
261,219
66,240
197,95
165,225
25,281
297,3
87,121
6,257
246,200
195,127
173,174
80,89
69,18
161,154
97,26
181,288
206,108
283,284
118,136
273,257
81,290
174,158
201,149
234,199
121,186
199,132
104,22
37,18
193,63
168,120
79,189
164,170
80,94
47,6
24,112
139,265
70,211
6,238
50,56
45,89
246,204
233,262
280,267
164,43
38,60
217,208
147,263
1,31
129,172
198,191
163,126
191,131
105,87
293,162
261,100
38,77
73,29
221,75
92,91
76,244
30,258
199,185
199,148
258,233
258,266
144,1
150,110
80,172
78,211
201,127
129,27
82,75
262,148
248,123
36,294
104,19
53,67
148,60
231,84
84,1
224,177
228,99
1,290
78,297
145,168
120,221
218,47
68,173
37,208
20,76
144,11
214,212
79,122
135,62
252,7
24,136
7,234
266,172
217,227
150,104
187,22
195,148
225,126
122,67
154,118
49,4
22,32
252,90
155,4
289,246
159,138
180,68
265,299
201,300
55,120
123,88
192,44
267,203
237,127
33,156
46,291
3,284
289,169
260,83
285,228
216,212
74,139
243,143
105,8
107,147
148,220
139,186
270,151
212,244
263,1
171,131
188,66
170,22
252,255
219,265
140,194
244,101
8,47
286,242
223,218
225,148
